movie_id,title,release_year,director_id,genre,description,avg_vote,votes
76,Spider-Man: Into the Spider-Verse,2018,76,"Animation, Action, Adventure","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",8.4,335892
77,Dangal,2016,77,"Action, Biography, Drama",Former wrestler,8.4,147907
78,Kimi no na wa.,2016,78,"Animation, Drama, Fantasy","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",8.4,178480
79,CapharnaÃ¼m,2018,79,Drama,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",8.4,53506
80,The Kid,1921,80,"Comedy, Drama, Family","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",8.3,109038
81,Metropolis,1927,81,"Drama, Sci-Fi","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",8.3,156076
82,M - Eine Stadt sucht einen MÃ¶rder,1931,82,"Crime, Mystery, Thriller","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",8.3,139271
83,Citizen Kane,1941,83,"Drama, Mystery","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",8.3,389322
84,Double Indemnity,1944,84,"Crime, Drama, Film-Noir",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,8.3,139564
85,Ladri di biciclette,1948,85,Drama,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",8.3,141507
86,Ikiru,1952,86,Drama,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,8.3,65369
87,Singin' in the Rain,1952,87,"Comedy, Musical, Romance",A silent film production company and cast make a difficult transition to sound.,8.3,213152
88,Vertigo,1958,88,"Mystery, Romance, Thriller",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,8.3,352786
89,North by Northwest,1959,89,"Adventure, Mystery, Thriller",A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,8.3,291628
90,The Apartment,1960,90,"Comedy, Drama, Romance","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",8.3,158999
91,Lawrence of Arabia,1962,91,"Adventure, Biography, Drama",The story of,8.3,261504
92,Per qualche dollaro in piÃ¹,1965,92,Western,Two bounty hunters with the same intentions team up to track down a Western outlaw.,8.3,226039
93,2001: A Space Odyssey,1968,93,"Adventure, Sci-Fi","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",8.3,587866
94,A Clockwork Orange,1971,94,"Crime, Drama, Sci-Fi","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",8.3,740301
95,The Sting,1973,95,"Comedy, Crime, Drama",Two grifters team up to pull off the ultimate con.,8.3,236285
96,Taxi Driver,1976,96,"Crime, Drama","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",8.3,703264
97,Das Boot,1981,97,"Adventure, Drama, Thriller","The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",8.3,226427
98,Star Wars: Episode VI - Return of the Jedi,1983,98,"Action, Adventure, Fantasy","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",8.3,928036
99,Scarface,1983,99,"Crime, Drama","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",8.3,721343
100,Amadeus,1984,100,"Biography, Drama, History","The life, success and troubles of",8.3,361028
